No,Date,ReTweet,Like
1,20200117,5,7
2,20200118,0,0
3,20200126,360,365
4,20200129,1,1
5,20200129,35,23
6,20200131,19,2
7,20200202,5,1
8,20200204,0,0
9,20200205,0,0
10,20200209,1,4
11,20200209,3,4
12,20200212,69,33
13,20200220,0,0
14,20200220,24,9
15,20200220,133,78
16,20200222,0,0
17,20200223,0,0
18,20200224,0,0
19,20200224,95,55
20,20200226,5,0
21,20200226,419,151
22,20200229,66,50
23,20200302,5,2
24,20200302,0,0
25,20200305,5,10
26,20200307,2,0
27,20200308,0,0
28,20200309,0,0
29,20200310,0,0
30,20200311,218,127
31,20200312,1,2
32,20200312,5,0
33,20200312,41,32
34,20200313,3,0
35,20200313,813,84
36,20200313,33,15
37,20200313,303,37
38,20200315,290,267
39,20200316,0,0
40,20200316,22,7
41,20200317,10,9
42,20200318,0,0
43,20200318,0,0
44,20200319,4272,1027
45,20200320,59,39
46,20200322,54,62
47,20200322,452,364
48,20200331,0,0
49,20200331,73,57
50,20200401,0,1
51,20200402,53,23
52,20200402,349,265
53,20200402,182,104
54,20200402,37,35
55,20200405,7,9
56,20200408,0,1
57,20200408,0,0
58,20200413,474,228
59,20200421,0,0
60,20200422,0,0
61,20200424,0,0
62,20200424,0,0
63,20200426,12,29
64,20200428,0,0
65,20200428,5,7
66,20200504,0,1
67,20200509,95,68
68,20200510,68,43
69,20200510,134,64
70,20200511,4,1
71,20200520,80,71
72,20200521,101,99
73,20200523,2,3
74,20200526,6,2
75,20200528,0,0
76,20200602,154,93
77,20200602,40,35
78,20200604,0,0
79,20200605,1,2
80,20200605,0,0
81,20200608,738,207
82,20200608,238,142
83,20200609,0,0
84,20200618,95,58
85,20200619,26,42
86,20200626,35,34
87,20200701,116,93
88,20200707,14,5
89,20200708,2,1
90,20200708,40,23
91,20200716,66,48
92,20200720,15,8
93,20200721,1,6
94,20200724,0,0
95,20200727,0,0
96,20200801,0,0
97,20200804,51,69
98,20200804,51,69
99,20200806,0,0
100,20200813,1,0
101,20200823,0,0
102,20200828,0,0
103,20200906,588,133
104,20200911,32,60
105,20200914,249,232
106,20200917,0,0
107,20200918,0,0
108,20200918,0,0
109,20200922,65,48
110,20201008,126,88
111,20201009,117,103
112,20201009,22,20
113,20201012,58,48
114,20201012,30,27
115,20201013,0,0
116,20201015,79,64
117,20201015,88,67
118,20201017,157,188
119,20201022,0,0
120,20201022,0,0
121,20201022,84,60
122,20201029,105,121
123,20201102,64,44
124,20201105,76,90
125,20201112,76,82
126,20201113,0,0
127,20201114,10,19
128,20201116,92,77
129,20201117,2,1
130,20201118,45,31
131,20201119,0,0
132,20201124,48,62
133,20201124,23,16
134,20201124,49,48
135,20201125,0,6
136,20201127,21,24
137,20201128,67,48
138,20201129,92,80
139,20201130,0,0
140,20201203,86,77
141,20201207,239,128
142,20201208,186,160
143,20201208,51,37
144,20201210,134,123
145,20201210,139,139
146,20201213,36,25
147,20201214,252,209
148,20201215,0,0
149,20201215,429,429
150,20201216,25,25
151,20201216,10,15
152,20201217,25,26
153,20201218,78,140
154,20201222,287,368
155,20201226,92,63
156,20201228,145,151
157,20210103,0,0
158,20210116,14,15
159,20210119,0,0
160,20210119,0,0
161,20210123,0,0
162,20210206,0,1
163,20210218,8,24
164,20210302,0,0
165,20210303,0,0
166,20210304,17,17
167,20210306,11,6
168,20210326,67,60
169,20210328,0,0
170,20210422,0,0
171,20210505,3,1
172,20210525,7,6
173,20210527,0,0
174,20210527,28,7
175,20210610,0,0
176,20210627,2,0
177,20210709,0,0
178,20210709,0,0
179,20210712,0,0
180,20210719,0,0
181,20210725,0,0
182,20210802,1,3
183,20210819,1,0
184,20210915,1,2
185,20210918,0,0
186,20210923,0,0
187,20211005,1,5
188,20211018,1,0
189,20211029,3,1
190,20211207,76,70
191,20211219,37,49
192,20211222,5,8
193,20211230,8,8
194,20220101,0,0
195,20220105,0,0
196,20220107,2,2
197,20220109,0,0
198,20220113,18,23
199,20220117,561,897
200,20220117,25,25
201,20220119,0,0
202,20220202,5,7
203,20220203,32,93
204,20220203,636,61
205,20220208,1,1
206,20220211,2,1
207,20220218,16,23
208,20220219,0,0
209,20220224,156,15
210,20220225,6,8
211,20220225,47,40
212,20220313,10,8
213,20220315,0,0
214,20220317,496,235
215,20220320,0,0
216,20220322,0,0
217,20220327,0,0
218,20220329,0,3
219,20220331,21,26
220,20220331,0,7
221,20220401,3,7
222,20220405,124,118
223,20220408,0,0
224,20220412,0,0
225,20220415,250,145
226,20220415,171,268
227,20220420,2,1
228,20220426,0,0
229,20220427,0,0
230,20220428,2,36
231,20220501,0,0
232,20220506,59,37
233,20220508,0,1
234,20220517,53,24
235,20220520,7,5
236,20220526,44,14
237,20220530,15,11
238,20220607,10,6
239,20220609,11,6
240,20220614,29,9
241,20220617,18,12
242,20220715,2,3
243,20220721,21,41
244,20220811,0,0
245,20220825,0,0
246,20220826,0,0
247,20220826,7,5
248,20220830,0,0
249,20220908,6,3
250,20220922,13,5
251,20220925,2,8
252,20220928,30,13
253,20220928,9,4
254,20220930,15,5
255,20221011,47,11
256,20221014,0,1
257,20221018,1,2
258,20221027,8,5
259,20221107,7,3
260,20221108,6,4
261,20221122,5,3
262,20221123,1,1
263,20221129,3,2
264,20221204,2,8
265,20221209,21,10
266,20221212,44,41
267,20221216,10,20
268,20221217,47,23
269,20221223,3,0
270,20221228,11,8
271,20221230,2,1
272,20221230,2,1
273,20230104,3,1
274,20230104,2,2
275,20230106,3,2
276,20230110,3,1
277,20230113,0,1
278,20230115,237,47
279,20230116,9,5
280,20230117,9,4
281,20230118,2,2
282,20230120,323,29
283,20230120,4,5
284,20230125,10,10
285,20230125,0,0
286,20230125,0,0
287,20230126,25,22
288,20230126,7,9
289,20230128,1,1
290,20230129,69,37
291,20230130,821,111
292,20230131,19,14
293,20230201,0,0
294,20230201,7,5
295,20230203,7,6
296,20230203,6,4
297,20230204,0,0
298,20230207,0,1
299,20230209,9,10
300,20230210,0,0
301,20230213,5,6
302,20230214,0,0
303,20230215,12,8
304,20230217,4,2
305,20230220,6,7
306,20230222,5,4
307,20230222,1,1
308,20230222,0,0
309,20230224,32,5
310,20230224,32,5
311,20230227,10,8
312,20230303,3,3
313,20230303,2,3
314,20230303,0,0
